https://schema.org/identifier,https://schema.org/name,https://schema.org/alternateName,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/image,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/publishingPrinciples,https://schema.org/isBasedOnUrl
62,川島 宏一,かわぐち ひろゆき,地域情報化アドバイザー アドバイザーリーダー,内閣官房IT総合戦略室 オープンデータ伝道師,筑波大学システム情報系社会工学域 教授,https://code4sabae.github.io/ictadvisors/img/2021/AD062.jpg,オープンデータ,地域情報化計画・官民データ計画,ＥＢＰＭ（エビデンスに基づく政策立案）,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/062_2021adviser.pdf,https://www.applic.or.jp/page-1862/
1,会田 和子,あいだ かずこ,地域情報化アドバイザー,株式会社いわきテレワークセンター 代表取締役社長,一般社団法人日本テレワーク協会 副会長,https://code4sabae.github.io/ictadvisors/img/2021/AD001.jpg,テレワーク,人材の育成・活用,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/001_2021adviser.pdf,https://www.applic.or.jp/page-1862/
2,淺野 隆夫,あさの たかお,地域情報化アドバイザー,札幌市中央図書館 利用サービス課長,,https://code4sabae.github.io/ictadvisors/img/2021/AD002.jpg,デジタルアーカイブ／図書館,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/002_2021adviser.pdf,https://www.applic.or.jp/page-1862/
3,浅見 良雄,あさみ よしお,地域情報化アドバイザー,小鹿野町 元総合政策課 課長,現小鹿野町総務課兼まちづくり推進課 行政専門員,https://code4sabae.github.io/ictadvisors/img/2021/AD003.jpg,自治体システムの標準化・共通化,観光,テレワーク,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/003_2021adviser.pdf,https://www.applic.or.jp/page-1862/
4,東 富彦,あずま とみひこ,地域情報化アドバイザー,内閣官房IT総合戦略室 オープンデータ伝道師,キアズマ 代表,https://code4sabae.github.io/ictadvisors/img/2021/AD004.jpg,スマートシティ,オープンデータ,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/004_2021adviser.pdf,https://www.applic.or.jp/page-1862/
5,新井 イスマイル,あらい いすまいる,地域情報化アドバイザー,奈良先端科学技術大学院大学 総合情報基盤センター 准教授,内閣官房IT総合戦略室 オープンデータ伝道師,https://code4sabae.github.io/ictadvisors/img/2021/AD005.jpg,オープンデータ,スマートシティ,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/005_2021adviser.pdf,https://www.applic.or.jp/page-1862/
6,家中 賢作,いえなか けんさく,地域情報化アドバイザー,つくば市政策イノベーション部情報政策課 企画推進係長,（兼）科学技術振興課スマートシティ戦略室 主任主査 （兼）企画経営課統計・データ利活用推進室 主任主査,https://code4sabae.github.io/ictadvisors/img/2021/AD006.jpg,人材の育成・活用,地域情報化計画・官民データ計画,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/006_2021adviser.pdf,https://www.applic.or.jp/page-1862/
7,生駒 祐一,いこま ゆういち,地域情報化アドバイザー,テラスマイル株式会社 代表取締役,宮崎県農業経営指導士,https://code4sabae.github.io/ictadvisors/img/2021/AD007.jpg,農林水産業,地域ビジネス,ＡＩ活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/007_2021adviser.pdf,https://www.applic.or.jp/page-1862/
8,石井 重成,いしい かずのり,地域情報化アドバイザー,青森大学社会学部 准教授,一般社団法人地域・人材共創機構 代表理事,https://code4sabae.github.io/ictadvisors/img/2021/AD008.jpg,地域ビジネス,シェアリングエコノミー,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/008_2021adviser.pdf,https://www.applic.or.jp/page-1862/
9,石上 涼子,いしがみ りょうこ,地域情報化アドバイザー,多久市役所 商工観光課 商工観光係長,内閣官房IT総合戦略室シェアリングエコノミー伝道師,https://code4sabae.github.io/ictadvisors/img/2021/AD009.jpg,シェアリングエコノミー,観光,働き方,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/009_2021adviser.pdf,https://www.applic.or.jp/page-1862/
