ID,ふりがな,氏名,所属・役職,主な対応分野,顔写真,PDF
1,あいだ　かずこ,会田　和子,"一般社団法人日本テレワーク協会　副会長
特定非営利活動法人地域産業おこしの会理事長","テレワーク,働き方,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7001.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/001_2025_ad.pdf
2,あおき　いっこう,青木　一剛,"マルマケ　代表社長・CEO
元日本コカ・コーラ　スプライトブランドマネージャー","EBPM（エビデンスに基づく政策立案）,ICT活用広報,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7217.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/217_2025_ad.pdf
3,あおき　かずと,青木　和人,"福井県立大学 地域経済研究所　教授
オープンデータ実践会　代表","オープンデータ,デジタルアーカイブ／図書館,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7002.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/002_2025_ad.pdf
4,あさの　たかお,淺野　隆夫,"札幌市役所　まちづくり政策局　政策企画部　プロジェクト担当部長
（一社）札幌マンガ・図書等活用まちづくり機構　事務局長","デジタルアーカイブ／図書館,教育情報化／情報教育,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7003.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/003_2025_ad.pdf
5,あさみ　よしお,浅見　良雄,"地方公共団体情報システム機構　理事
小鹿野町特定地域づくり事業協同組合　理事兼事務局長","観光,マイナンバー,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7004.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/004_2025_ad.pdf
6,あずま　とみひこ,東　富彦,"中津市 DX推進監
","人材（ＤＸに関する知識習得・研修・育成）,人材（ＤＸ推進のための機運の醸成）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7005.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/005_2025_ad.pdf
7,あらい　いすまいる,新井　イスマイル,"奈良先端科学技術大学院大学 総合情報基盤センター 准教授
","オープンデータ,生成AI活用,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7006.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/006_2025_ad.pdf
8,あらい　ちの,新井　千乃,"朝日航洋株式会社　G空間研究所　研究員
","人材（ＤＸに関する知識習得・研修・育成）,人材（ＤＸ推進のための機運の醸成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7007.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/007_2025_ad.pdf
9,あらき　かつひこ,荒木　克彦,"名古屋大学 未来社会創造機構 モビリティ社会研究所 / 卓越大学院プログラムTMI  客員教授
ブルーインフラストラクチャー合同会社 顧問","ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,スタートアップ支援（起業支援）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7008.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/008_2025_ad.pdf
10,あわづ　ちぐさ,粟津　千草,"株式会社 ジェイコムウエスト　地域コミュニケーション統括部　情報リテラシーアドバイザー
","教育情報化／情報教育,子育て,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7218.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/218_2025_ad.pdf
11,あんどう　みき,安藤　未希,"株式会社インフォハント　代表取締役
","教育情報化／情報教育,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7009.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/009_2025_ad.pdf
12,いえなか　けんさく,家中　賢作,"つくば市政策イノベーション部デジタル政策課　課長補佐
","人材（ＤＸに関する知識習得・研修・育成）,人材（ＤＸ推進のための機運の醸成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7010.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/010_2025_ad.pdf
13,いけだ　まさと,池田　昌人,"ソフトバンク株式会社 CSR本部長兼ESG推進室長
公益財団法人子ども未来支援財団 専務理事","人材（ＤＸ推進のための機運の醸成）,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7011.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/011_2025_ad.pdf
14,いこま　ゆういち,生駒　祐一,"テラスマイル株式会社　代表取締役
","農林水産業,スタートアップ支援（起業支援）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7012.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/012_2025_ad.pdf
15,いしい　かずのり,石井　重成,"青森大学社会学部 准教授
一般社団法人地域・人材共創機構 代表理事","EBPM（エビデンスに基づく政策立案）,シェアリングエコノミー,地域ビジネス",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7013.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/013_2025_ad.pdf
16,いしづか　さやか,石塚　清香,"一般社団法人コード・フォー・ジャパン GovTech推進コンサルタント
真鶴町CxO補佐官","人材（ＤＸに関する知識習得・研修・育成）,人材（ＤＸ推進のための機運の醸成）,オープンデータ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7014.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/014_2025_ad.pdf
17,いしつか　としゆき,石塚　敏之,"オフィス向山　代表
筑波総研株式会社　顧問","EBPM（エビデンスに基づく政策立案）,人材（ＤＸに関する知識習得・研修・育成）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7015.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/015_2025_ad.pdf
18,いしやま　あんじゅ,石山　アンジュ,"一般社団法人シェアリングエコノミー協会 代表理事
デジタル庁シェアリングエコノミー伝道師","シェアリングエコノミー,地域ビジネス,働き方",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7016.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/016_2025_ad.pdf
19,いたくら　よういちろう,板倉　陽一郎,"ひかり総合法律事務所パートナー弁護士
理化学研究所革新知能統合研究センター客員主管研究員","個人情報保護,マイナンバー,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7017.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/017_2025_ad.pdf
20,いちかわ　ひろゆき,市川　博之,"一般社団法人シビックテック・ラボ　代表理事
東京造形大学　特任教授","人材（ＤＸ推進のための機運の醸成）,EBPM（エビデンスに基づく政策立案）,プロジェクトマネジメント支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7018.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/018_2025_ad.pdf
21,いちのせ　ひでお,市瀬　英夫,"大阪府　CDO　兼　スマートシティ戦略部長
","計画策定支援,自治体セキュリティ,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7019.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/019_2025_ad.pdf
22,いとう　ふみのり,伊藤　文徳,"会津若松市役所 企画政策部 情報戦略課
","その他,EBPM（エビデンスに基づく政策立案）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7020.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/020_2025_ad.pdf
23,いとう　よしなり,伊藤　吉也,"フォーティネットジャパン合同会社　パブリックソリューションビジネス本部　第三ビジネス部　部長
","自治体セキュリティ,教育情報化／情報教育,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7219.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/219_2025_ad.pdf
24,いのうえ　あいこ,井上　あい子,"ａｉ株式会社　代表取締役
総務省地域力創造アドバイザー","人材（ＤＸ推進のための機運の醸成）,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,ICT活用広報",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7021.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/021_2025_ad.pdf
25,いのうえ　たいいち,井上　泰一,"株式会社野村総合研究所社会システムコンサルティング部・プリンシパル
","人材（ＤＸに関する知識習得・研修・育成）,生成AI活用,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7022.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/022_2025_ad.pdf
26,いのうえ　ひでゆき,井上　英幸,"一般社団法人九州テレコム振興センター　主席研究員
","自治体システム調達
地域情報プラットフォーム,自治体システムの標準化・共通化,自治体セキュリティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7023.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/023_2025_ad.pdf
27,いのうえ　まさる,井上　勝,"MICTA 代表
","教育情報化／情報教育,デジタルデバイド対策,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7220.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/220_2025_ad.pdf
28,いまい　たけひこ,今井　建彦,"元仙台市情報政策部長
Ａ＆Ｉ研究所","人材（ＤＸ推進のための機運の醸成）,計画策定支援,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7024.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/024_2025_ad.pdf
29,いわせ　よしかず,岩瀬　義和,"株式会社デジコンキューブ　代表取締役社長
ふじみや株式会社　代表取締役","スタートアップ支援（起業支援）,人材（ＤＸ推進のための機運の醸成）,人材（ＤＸに関する知識習得・研修・育成）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7025.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/025_2025_ad.pdf
30,うえだ　けんじ,上田　健次,"公益財団法人九州先端科学技術研究所(ISIT) オープンイノベーション・ラボ　イノベーション・アーキテクト
Code for Kumamoto 運営","オープンデータ,人材（ＤＸ推進のための機運の醸成）,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7221.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/221_2025_ad.pdf
31,うえまえ　ともひろ,上前　知洋,"一般社団法人立科町振興公社、事務局長
立科町企画課付（公社へ派遣）","テレワーク,働き方,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7026.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/026_2025_ad.pdf
32,うえむら　しゅうし,上村　州史,"松阪市企画振興部経営企画課政策経営係長
","人材（ＤＸ推進のための機運の醸成）,行政手続オンライン化,マイナンバー",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7222.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/222_2025_ad.pdf
